Softplan,Efetivo,Efetivo,Pessoa Especialista em Desenvolvimento Frontend React Cód.6441,https://softplan.gupy.io/job/eyJqb2JJZCI6ODE4NjQ0MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 13/12/2024
Grupo Boticário,Efetivo,Efetivo,Pessoa Desenvolvedora Mobile React Native Especialista I (E-commerce),https://grupoboticario.gupy.io/job/eyJqb2JJZCI6ODI3MjE2Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 12/12/2024
Tecnologia Grupo Casas Bahia,Efetivo,Efetivo,Pessoa Engenheira de Software Pleno - React js,https://tecnologiagrupocasasbahia.gupy.io/job/eyJqb2JJZCI6ODIyNTMyNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 11/12/2024
Log Lab,Terceiro,Terceiro,Desenvolvedor NodeJS/React,https://loglabdigital.gupy.io/job/eyJqb2JJZCI6ODI4Mzk4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 11/12/2024
3CON | IT & Digital,Efetivo,Efetivo,Desenvolvedor React Native (Expo),https://trescon.gupy.io/job/eyJqb2JJZCI6ODI4MzY5OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 11/12/2024
Softplan,Efetivo,Efetivo,Pessoa Desenvolvedora Full Stack VUE/React Sr. Cód.7581,https://softplan.gupy.io/job/eyJqb2JJZCI6ODE3NzU4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 10/12/2024
VENHA SER #SANGUELARANJA 🧡🚀,Efetivo,Efetivo,Senior React Developer,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODI3MjQxMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 10/12/2024
VENHA SER #SANGUELARANJA 🧡🚀,Efetivo,Efetivo,Senior React Developer,https://fcamara.gupy.io/job/eyJqb2JJZCI6ODI3MjQzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 10/12/2024
Montreal & Tecnologia & Inovação,Efetivo,Efetivo,Desenvolvedor de Software Pleno - Java Fullstack,https://montreal.gupy.io/job/eyJqb2JJZCI6ODIyOTY3OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 03/12/2024
Globalweb,Efetivo,Efetivo,200001026 - ANALISTA DESENVOLVEDOR JAVA FULLSTACK PL,https://sejaglobalweb.gupy.io/job/eyJqb2JJZCI6ODE3NzkzOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Publicada em: 03/12/2024
